PRIORITY RANK,NOTE,BASIN,HUC_12,COUNTY,DESCRIPTION,STATION,USE,CAUSE(S)
3,,CATAWBA,030501040406,RICHLAND,WATEREE RVR AT US 76 AND 378,CW-206,FISH,"HG, PCB"
,,,,,,,,
3,,EDISTO,030502030101,AIKEN,CHINQUAPIN CREEK AT S-02-210,E-606,AL,BIO
,,,,,,,,
3,,EDISTO,030502030106,AIKEN,N FORK EDISTO RVR AT S-02-110,E-102,FISH,HG
,,,,,,,,
3,,EDISTO,030502030206,LEXINGTON,BULL SWP CK AT CLVT ON UNIMP RD 1.1 MI NW OF SWANSEA,E-034,AL,DO
3,,EDISTO,030502030206,LEXINGTON,BULL SWAMP CREEK AT SC 6,E-591,AL,BIO
,,,,,,,,
3,,EDISTO,030502030210,ORANGEBURG,NORTH EDISTO RIVER @ SLAB LANDING,E-704,FISH,HG
,,,,,,,,
3,*,EDISTO,030502030308,ORANGEBURG,N FORK EDISTO RVR AT US 601 AT ORANGEBURG,E-007,AL,PH
3,,EDISTO,030502030308,ORANGEBURG,N FORK EDISTO RVR AT US 601 AT ORANGEBURG,E-007,FISH,HG
3,,EDISTO,030502030308,ORANGEBURG,N FORK EDISTO RVR AT LIVINGSTON LANDING 6 MI BL E-007,E-007C,FISH,HG
3,,EDISTO,030502030308,ORANGEBURG,N FORK EDISTO RVR AT S-38-39 WSW OF ROWESVILLE,E-008,FISH,HG
3,,EDISTO,030502030308,ORANGEBURG,N FORK EDISTO RVR AT S-38-63,E-008A,FISH,HG
,,,,,,,,
3,,EDISTO,030502040101,SALUDA,BOG BRANCH AT S-43-91 (AIRPORT ROAD)/S-19-75 (OLD PLANK ROAD),RS-16297,AL,TURBIDITY
,,,,,,,,
3,,EDISTO,030502040106,EDGEFIELD,HILLYER BRANCH AT UNNAMED HILLYER BRANCH ROAD OFF S-19-75 3.5 MI NE OF TRENTON,RS-03344,AL,PH
,,,,,,,,
3,,EDISTO,030502040207,AIKEN,SOUTH EDISTO RIVER @ AIKEN STATE PARK,E-585,FISH,HG
3,,EDISTO,030502040207,AIKEN,LIGHTWOOD KNOT CRK. AT UNNAMED RD. WEST OF SR 60,E-600,FISH,HG
,,,,,,,,
3,,EDISTO,030502040305,BARNWELL,WINDY HILL CRK. AT SR 38,E-029,AL,PH
,,,,,,,,
3,,EDISTO,030502040307,BARNWELL,S FORK EDISTO RVR AT SC 39,E-011,FISH,HG
,,,,,,,,
3,,EDISTO,030502040309,ORANGEBURG,ROBERTS SWAMP AT SR 690,E-592,AL,BIO
,,,,,,,,
3,,EDISTO,030502040311,BAMBERG,SOUTH EDISTO RIVER @ BOBCAT LANDING,E-500,FISH,HG
3,,EDISTO,030502040311,BAMBERG,SOUTH EDISTO RIVER @ SC 365,E-501,FISH,HG
,,,,,,,,
3,,EDISTO,030502050101,ORANGEBURG,LITTLE BULL CK CK AT SC 33-BL UTICA TOOL CO,E-076,AL,PH
3,,EDISTO,030502050101,ORANGEBURG,GRAMBLING CRK. AT SR 154,E-589,AL,BIO
3,,EDISTO,030502050101,ORANGEBURG,BULL SWAMP AT SR 65,E-590,AL,BIO
,,,,,,,,
3,,EDISTO,030502050105,ORANGEBURG,GOODBYS SWAMP AT US 176 6 M SW OF ELLOREE,RS-01036,AL,BIO
,,,,,,,,
3,,EDISTO,030502050108,ORANGEBURG,FOUR HOLE SWAMP @ US 301,E-048,FISH,HG
3,,EDISTO,030502050108,CALHOUN,FOUR HOLE SWP AT S-38-50 5.2 MI SE OF CAMERON,E-059,FISH,HG
3,,EDISTO,030502050108,ORANGEBURG,UNNAMED TRIBUTARY TO FOUR HOLE SWAMP AT CO RD S-38-92 5.5 MI NE OF BOWMAN,RS-04537,AL,BIO
,,,,,,,,
3,,EDISTO,030502050302,ORANGEBURG,PROVIDENCE SWP AT E FRONTAGE RD TO I-95 NW OF HOLLY HILL,E-051,AL,DO
,,,,,,,,
3,,EDISTO,030502050305,ORANGEBURG,FOUR HOLE SWAMP AT SC 453,E-112,AL,DO
3,,EDISTO,030502050305,ORANGEBURG,FOUR HOLE SWAMP AT SC 453,E-112,FISH,HG
,,,,,,,,
2,,EDISTO,030502050311,DORCHESTER,4 HOLE SWP AT US 78 E OF DORCHESTER,E-100,REC,ECOLI
,,,,,,,,
3,,EDISTO,030502060103,BAMBERG,EDISTO RVR AT US 78 W OF BRANCHVILLE,E-013,FISH,HG
,,,,,,,,
3,,EDISTO,030502060106,DORCHESTER,EDISTO RIVER NEAR THE END OF FISHTALE RD SAMPLE OFF OF DOCK BETWEEN WHITE TRAILER AND BRICK HOUSE 6.,RS-06180,REC,ECOLI
,,,,,,,,
3,,EDISTO,030502060108,DORCHESTER,EDISTO RVR AT US 15 S OF ST GEORGE,E-014,FISH,HG
3,,EDISTO,030502060108,COLLETON,EDISTO RVR AT S-18-29,E-086,REC,ECOLI
,,,,,,,,
3,,EDISTO,030502060201,DORCHESTER,INDIAN FIELD SWAMP AT S-18-54; MULBERRY ROAD,RS-14227,AL,NH3N
,,,,,,,,
3,,EDISTO,030502060203,DORCHESTER,POLK SWP AT UNIMP RD S-18-180 2 MI S OF ST GEORGE,E-016,AL,DO
3,,EDISTO,030502060203,DORCHESTER,POLK SWAMP AT S-18-19,E-109,AL,DO
,,,,,,,,
3,,EDISTO,030502060204,DORCHESTER,INDIAN FIELD SWAMP AT S-18-19,E-032,AL,DO
3,,EDISTO,030502060204,DORCHESTER,BIG BRANCH AT S-18-378,RS-10373,AL,DO
,,,,,,,,
3,,EDISTO,030502060301,COLLETON,EDISTO RIVER @ MARS OLDFIELD,E-601,FISH,HG
3,,EDISTO,030502060301,COLLETON,EDISTO RIVER AT MARS OLDFIELD BOAT LANDING OFF SC 61. SAMPLE OFF RAMP OR JUST DOWNSTREAM AT SHORELIN,RS-14179,AL,DO
,,,,,,,,
3,,EDISTO,030502060302,DORCHESTER,EDISTO RVR AT SC 61 AT GIVHANS FERRY ST PK,E-015,FISH,HG
3,,EDISTO,030502060302,COLLETON,EDISTO RIVER @ GOOD HOPE LANDING,E-602,FISH,HG
,,,,,,,,
3,,EDISTO,030502060303,COLLETON,EDISTO RIVER @ SULLIVANS FERRY,E-087,FISH,HG
,,,,,,,,
3,,EDISTO,030502060304,CHARLESTON,EDISTO RIVER ABOVE HWY 17 (MARTINS LANDING),CSTL-589,FISH,HG
3,,EDISTO,030502060304,CHARLESTON,EDISTO RVR AT US 17 12.5 MI NW RAVENEL,MD-119,FISH,HG
,,,,,,,,
3,,EDISTO,030502060305,CHARLESTON,PENNY CREEK,CSTL-591,FISH,HG
,,,,,,,,
3,,EDISTO,030502060306,CHARLESTON,EDISTO RIVER @ WILLTOWN BLUFF,CSTL-590,FISH,HG
,,,,,,,,
3,,EDISTO,030502060307,CHARLESTON,ST. PIERRE CREEK AT PETERS PT.,13-04,SHELLFISH,FC
3,,EDISTO,030502060307,CHARLESTON,FISHING CREEK AT SANDY CREEK CONFLUENCE OF SHINGLE CREEK AND BAILEY CREEK (D7-01),13-05,SHELLFISH,FC
3,,EDISTO,030502060307,CHARLESTON,STORE CREEK OPPOSITE HOUSE WITH DOCKS ON RIGHT,13-07,SHELLFISH,FC
3,,EDISTO,030502060307,COLLETON,FISHING CREEK AT POLLUTION LINE,13-10,SHELLFISH,FC
3,,EDISTO,030502060307,CHARLESTON,SHINGLE CREEK AND MILTON CREEK CONFLUENCE,13-28,SHELLFISH,FC
3,,EDISTO,030502060307,CHARLESTON,"BAILEY CREEK,  FIRST BEND ADJACENT TO BLUFF ON BAILEYISLAND (NEAR CONFLUENCE WITH ST. PIERRE CREEK) (",13-29,SHELLFISH,FC
3,,EDISTO,030502060307,CHARLESTON,BAILEY CREEK AT CONFLUENCE WITH UNNAMED TRIBUTARY NEAR SOUTHWESTERN POINT OF SCANAWAH ISLAND (C7-01),13-30,SHELLFISH,FC
3,,EDISTO,030502060307,CHARLESTON,UNNAMED TRIB TO FISHING CREEK 0.8 MILES UPSTREAM FROM INACTIVE SHELLFISH SITE 13-05A,RT-11016,AL,TURBIDITY
,,,,,,,,
3,,EDISTO,030502060308,COLLETON,SCOTT CREEK AT THE MOUND,13-01,SHELLFISH,FC
3,,EDISTO,030502060308,CHARLESTON,ALLIGATOR CREEK AND S. FORK EDISTO RVR NORTHERN CONFLUENCE,13-20,SHELLFISH,FC
3,,EDISTO,030502060308,CHARLESTON,BIG BAY CR. HDWTRS AT FIRST BEND TO RIGHT PAST THE NECK,13-21,SHELLFISH,FC
3,,EDISTO,030502060308,CHARLESTON,FRAMPTON INLET AT NORTH END OF JEREMY CAY,13-24,SHELLFISH,FC
3,,EDISTO,030502060308,CHARLESTON,S EDISTO RVR AT NORTHERN CONFLUENCE WITH ALLIGATOR CREEK -13-20,MD-260,AL,TURBIDITY
3,,EDISTO,030502060308,COLLETON,"SOUTH EDISTO RIVER,  1 M MW OF EDISTO BEACH",RO-01123,AL,"NH3N, TURBIDITY"
3,,EDISTO,030502060308,COLLETON,SOUTH EDISTO RIVER 0.7 MILES SOUTHWEST OF BIG BAY CREEK,RO-08355,AL,TURBIDITY
3,,EDISTO,030502060308,COLLETON,SOUTH EDISTO RIVER APPROX 1.1 MI NNW OF SHELLFISH SITE 13-20,RO-12320,AL,TURBIDITY
3,,EDISTO,030502060308,COLLETON,SOUTH EDISTO RIVER APPROX 0.2 MIL WSW OF SHELLFISH SITE 13-31A,RO-12323,AL,TURBIDITY
3,,EDISTO,030502060308,COLLETON,MIDDLE OF ALLIGATOR CREEK TRIBUTARY TO SOUTH EDISTO RIVER,RT-12023,AL,TURBIDITY
3,,EDISTO,030502060308,COLLETON,SCOTT CREEK APPROX 0.6 MI E OF SC 174 BRIDGE,RT-13057,AL,TURBIDITY
3,,EDISTO,030502060308,COLLETON,SCOTT CREEK APPROX 0.6 MI E OF SC 174 BRIDGE,RT-13057,REC,ENTERO
,,,,,,,,
3,,EDISTO,030502060402,CHARLESTON,RAVEN POINT CREEK AT CONFLUENCE WITH CHURCH CREEK,12A-29,SHELLFISH,FC
3,,EDISTO,030502060402,CHARLESTON,"CHURCH CREEK AT DRAINAGE DISCHARGE 1/8 MILE EAST OF POWER LINES,  NORTH BANK OF ",12A-38,SHELLFISH,FC
3,,EDISTO,030502060402,CHARLESTON,PINE CREEK AT FIRST FORK,12A-40,SHELLFISH,FC
3,,EDISTO,030502060402,CHARLESTON,CHURCH CREEK AND NEW CUT CONFLUENCE,12A-41,SHELLFISH,FC
3,,EDISTO,030502060402,CHARLESTON,"CHURCH CREEK,  MOUTH  AT MARKER #77",12B-01,SHELLFISH,FC
3,,EDISTO,030502060402,CHARLESTON,"WADMALAW SOUND AT GOSHEN POINT,  MARKER #69",12B-02,SHELLFISH,FC
,,,,,,,,
3,,EDISTO,030502060403,CHARLESTON,"LEADENWAH CREEK,  AFTER FOURTH BEND AT THE FORK",12B-56,SHELLFISH,FC
3,,EDISTO,030502060403,CHARLESTON,UNNAMED CREEK TO LEADENWAH CREEK 3.7 MI NW OF ROCKVILLE,RT-052099,AL,TURBIDITY
,,,,,,,,
3,,EDISTO,030502060404,CHARLESTON,S.C. HIGHWAY 700 BRIDGE OVER BOHICKET CREEK,12A-14,SHELLFISH,FC
3,,EDISTO,030502060404,CHARLESTON,BOHICKET CREEK OPPOSITE HOOPSTICK ISLAND,12A-20,SHELLFISH,FC
3,,EDISTO,030502060404,CHARLESTON,BOHICKETT  CREEK OPPOSITE OLD DAM BEHIND RAST HOUSE RESTAURANT,12A-21,SHELLFISH,FC
3,,EDISTO,030502060404,CHARLESTON,CHURCH CREEK ~ 350 YDS WEST S.C. HWY.700 BRIDGE,12A-39,SHELLFISH,FC
3,,EDISTO,030502060404,CHARLESTON,BOHICKET CREEK MIDWAY BETWEEN STATIONS 21 AND 22 AT SMALL UNNAMED TRIBUTARY ON WEST BANK,12A-46,SHELLFISH,FC
3,,EDISTO,030502060404,CHARLESTON,CHURCH CR AT SC 700 1 MI SW OF CEDAR SPRINGS,MD-195,AL,DO
3,,EDISTO,030502060404,CHARLESTON,BOHICKET CK AT FICKLING CK,MD-209,AL,DO
3,,EDISTO,030502060404,CHARLESTON,BOHICKET CK 3 MI SW SC 700 BRIDGE,RO-036041,AL,DO
3,,EDISTO,030502060404,CHARLESTON,BOHICKET CREEK ABOUT 50 YARDS NORTHEAST OF SHELLFISH SITE 12A-20.,RT-09111,AL,DO
3,,EDISTO,030502060404,CHARLESTON,BOHICKET CREEK ABOUT 50 YARDS NORTHEAST OF SHELLFISH SITE 12A-20.,RT-09111,REC,ENTERO
3,,EDISTO,030502060404,CHARLESTON,CHURCH CREEK APPROX 0.5 MI NW OF SC 700 BRIDGE -0.25 MI NW 12A-39,RT-13044,AL,DO
3,,EDISTO,030502060404,CHARLESTON,CHURCH CREEK APPROX 0.5 MI NW OF SC 700 BRIDGE -0.25 MI NW 12A-39,RT-13044,REC,ENTERO
,,,,,,,,
3,,EDISTO,030502060405,CHARLESTON,RUSSEL CREEK AND CREEK FARM ROAD,12B-43A,SHELLFISH,FC
3,,EDISTO,030502060405,CHARLESTON,SAND CREEK BRIDGE AT HIGHWAY 174,12B-47,SHELLFISH,FC
3,,EDISTO,030502060405,CHARLESTON,SAND  CREEK AT INTAKE TO WESTENDORF CLAM FARM,12B-50,SHELLFISH,FC
3,,EDISTO,030502060405,CHARLESTON,"DAWHO RIVER,  MARKER #126 ",12B-53,SHELLFISH,FC
3,,EDISTO,030502060405,CHARLESTON,TOM POINT CREEK 3 BENDS US STATION 3,12B-54,SHELLFISH,FC
3,,EDISTO,030502060405,CHARLESTON,DAWHO RVR AT SC 174 9 MI N OF EDISTO BCH SP,MD-120,REC,ENTERO
3,,EDISTO,030502060405,CHARLESTON,NORTH EDISTO RIVER 200 YARDS FROM THE MOUTH OF WEST BANK CREEK,RO-08343,AL,TURBIDITY
3,,EDISTO,030502060405,CHARLESTON,WESTBANK CREEK APPROX 210 YDS IN FROM MOUTH/SHELLFISH SITE 12B-07,RO-14356,AL,DO
3,,EDISTO,030502060405,CHARLESTON,"DAWHO RIVER,  10.5 M N OF EDISTO BEACH",RT-01665,AL,"DO, TURBIDITY"
3,,EDISTO,030502060405,CHARLESTON,FISHING CK NEAR JEHOSSEE ISLAND,RT-02005,AL,TURBIDITY
3,,EDISTO,030502060405,CHARLESTON,DAWHO RIVER 0.2 MI US OF CONFLUENCE WITH NORTH CREEK/ICWW,RT-07055,REC,ENTERO
3,,EDISTO,030502060405,CHARLESTON,PRIVATEER CREEK AT SPLIT TO TWO MAIN BRANCHES,RT-14076,AL,DO
,,,,,,,,
3,,PEEDEE,030402010402,CHESTERFIELD,THOMPSON CRK. AT SC 109,PD-673,AL,PH
3,,PEEDEE,030402010402,CHESTERFIELD,CLAY CREEK AT S-13-55,RS-02305,AL,DO
,,,,,,,,
3,,PEEDEE,030402010403,CHESTERFIELD,"DEEP CREEK 75 FT UPSTREAM OF SC 9,  5.5 M W OF CHESTERFIELD",RS-01013,AL,TURBIDITY
,,,,,,,,
3,,PEEDEE,030402010406,CHESTERFIELD,LITTLE BEAR CREEK AT CULVERT ON SHAG RD BTWN S-13-399 AND SC 109,RS-12064,REC,ECOLI
,,,,,,,,
3,,PEEDEE,030402010407,CHESTERFIELD,NORTH PRONG CRK. AT SC 102,PD-677,AL,BIO
,,,,,,,,
3,,PEEDEE,030402010408,CHESTERFIELD,INDIAN CK AT SCOTCH ROAD JUST OFF OF SC 102,RS-10377,AL,DO
3,,PEEDEE,030402010408,CHESTERFIELD,INDIAN CK AT SCOTCH ROAD JUST OFF OF SC 102,RS-10377,REC,ECOLI
,,,,,,,,
3,,PEEDEE,030402010411,CHESTERFIELD,THOMPSON CK AT S-13-148 S OF CHERAW,PD-338,AL,PH
3,,PEEDEE,030402010411,CHESTERFIELD,THOMPSON CK AT S-13-148 S OF CHERAW,PD-338,REC,ECOLI
,,,,,,,,
3,,PEEDEE,030402010501,CHESTERFIELD,WESTFIELD CREEK AT US 52,PD-339,REC,ECOLI
3,,PEEDEE,030402010501,CHESTERFIELD,WESTFIELD CREEK AT SR 62,PD-641,AL,BIO
,,,,,,,,
3,,PEEDEE,030402010504,MARLBORO,PEE DEE RVR AT US 1 NE CHERAW,PD-012,FISH,"HG, PCB"
3,,PEEDEE,030402010504,MARLBORO,PEE DEE RVR AT US 1 NE CHERAW,PD-012,REC,ECOLI
,,,,,,,,
3,,PEEDEE,030402010506,MARLBORO,LIGHTWOOD KNOT CRK. @ SR 166,PD-713,AL,BIO
3,,PEEDEE,030402010506,MARLBORO,LAKE WALLACE EAST SHORE NEAR PICNIC AREA,RL-05398,AL,"CHLA, TP, TURBIDITY"
3,,PEEDEE,030402010506,MARLBORO,LAKE WALLACE 0.6 MILES NORTH OF THE SKI IMPOUNDMENT BOAT LANDING. SITE IS LOCATED ABOUT MID CHANNEL ,RL-09100,AL,"CHLA, PH, TP, TURBIDITY"
,,,,,,,,
3,,PEEDEE,030402010510,DARLINGTON,GREAT PEE DEE RVR AT US 15 AND 401,PD-015,FISH,"HG, PCB"
3,,PEEDEE,030402010510,DARLINGTON,GREAT PEE DEE RVR AT US 15 AND 401,PD-015,REC,ECOLI
,,,,,,,,
3,,PEEDEE,030402010602,CHESTERFIELD,CATTAIL BRANCH AT S-13-54 EVANS MILL ROAD,RS-16312,REC,ECOLI
,,,,,,,,
3,,PEEDEE,030402010606,DARLINGTON,LK ROBINSON IN FOREBAY EQUIDISTANT FROM DAM AND SHORELINES  FROM PRIVATE ACCESS,CL-094,AL,PH
3,,PEEDEE,030402010606,CHESTERFIELD,BLACK CK AT US 1,PD-251,AL,PH
3,,PEEDEE,030402010606,CHESTERFIELD,BLACK CK AT US 1,PD-251,REC,ECOLI
3,,PEEDEE,030402010606,CHESTERFIELD,LK ROBINSON AT S-13-346 5 MI E MCBEE BY BOAT,PD-327,AL,PH
3,,PEEDEE,030402010606,CHESTERFIELD,LK ROBINSON AT S-13-346 5 MI E MCBEE BY BOAT,PD-327,FISH,HG
3,,PEEDEE,030402010606,DARLINGTON,LAKE ROBINSON APPROX 180 YDS SE OF END OF HAWK HILL DR,RL-14092,AL,PH
3,,PEEDEE,030402010606,CHESTERFIELD,LAKE ROBINSON APPROX 110 YDS S OF ISLAND W OF SANDY POINT RD -S-13-928,RL-14151,AL,PH
3,,PEEDEE,030402010606,DARLINGTON,LAKE ROBINSON 1 MILE UPSTREAM OF THE DAM,RL-15011,AL,PH
,,,,,,,,
3,,PEEDEE,030402010704,DARLINGTON,"BLACK CREEK NEAR DIRT ROAD OFF COUNTY RD 41,  6 M NE OF HARTSVILLE",RS-01043,AL,CU
,,,,,,,,
3,,PEEDEE,030402010707,DARLINGTON,ON SWIFT CREEK ABOVE CONFLUENCE OF SWIFT CREEK AND BLACK CREEK; ON SWIFT CREEK BANK (NO BRIDGE) ON B,BCLT-12,REC,ECOLI
3,,PEEDEE,030402010707,DARLINGTON,"60"" TILE DISCHARGING TO DITCH ACROSS RD AT DARLINGTON STP",PD-141,AL,NH3N
3,,PEEDEE,030402010707,DARLINGTON,TRIBUTARY TO SWIFT CREEK AT COUNTY RD 213 JUST NORTH OF DARLINGTON,RS-01023,AL,CU
3,,PEEDEE,030402010707,DARLINGTON,"INDIAN CK AT SC 34,  7.4 MI W OF DARLINGTON",RS-11008,REC,ECOLI
3,,PEEDEE,030402010707,DARLINGTON,SWIFT CREEK AT SC 34 CASHUA FERRY ROAD,RS-15260,REC,ECOLI
,,,,,,,,
3,,PEEDEE,030402010710,FLORENCE,BLACK CREEK AT SC 327,PD-078,AL,DO
3,,PEEDEE,030402010710,FLORENCE,BLACK CREEK AT SC 327,PD-078,REC,ECOLI
3,,PEEDEE,030402010710,FLORENCE,BLACK CREEK @ SC 327,PD-623,FISH,HG
3,,PEEDEE,030402010710,FLORENCE,ASHBY BRANCH AT CULVERT ON S-21-1511(CLARK ST) WHICH IS NEXT TO QUINBY UNITED METHODIST CHURCH,RS-06027,AL,"DO, PH"
,,,,,,,,
3,,PEEDEE,030402010802,DARLINGTON,BUCKHOLTZ CREEK @ UNPAVED RD OFF S-16-41,PD-637,AL,BIO
,,,,,,,,
3,,PEEDEE,030402010804,MARLBORO,HAGINS PRONG AT SC ROUTE 381,PD-336,REC,ECOLI
,,,,,,,,
3,,PEEDEE,030402010805,MARLBORO,GREAT PEE DEE RIVER @ BLUE'S LANDING,PD-242,FISH,"HG, PCB"
,,,,,,,,
3,,PEEDEE,030402010806,MARLBORO,PEE DEE RIVER AT END OF S-35-611 TOM BLUE LANDING ROAD AT BLUES -HUNTS BLUFF- LANDING,RS-02471,AL,DO
,,,,,,,,
3,,PEEDEE,030402010808,DARLINGTON,PEE DEE RVR AT SC 34 11 MI NE DARLINGTON,PD-028,FISH,"HG, PCB"
,,,,,,,,
3,,PEEDEE,030402010809,DARLINGTON,FOUNTAIN BRANCH S-16-35 NORTH OF SC 34,RS-12072,AL,DO
3,,PEEDEE,030402010809,DARLINGTON,FOUNTAIN BRANCH S-16-35 NORTH OF SC 34,RS-12072,REC,ECOLI
,,,,,,,,
3,,PEEDEE,030402010810,DARLINGTON,LOUTHER'S LAKE,PD-666,FISH,HG
,,,,,,,,
3,,PEEDEE,030402010901,FLORENCE,MIDDLE SWP AT SC 51 3.5 MI SSE OF FLORENCE,PD-230,AL,DO
,,,,,,,,
3,,PEEDEE,030402010902,DARLINGTON,JEFFRIES CK AT SC 340 6.8 MI SSW OF DARLINGTON,PD-255,AL,DO
3,,PEEDEE,030402010902,FLORENCE,JEFFRIES CK AT S-21-112 4.8 MI W OF FLORENCE,PD-256,AL,DO
3,,PEEDEE,030402010902,DARLINGTON,JEFFERIES CREEK AT S-16-13,PD-639,AL,BIO
,,,,,,,,
3,,PEEDEE,030402010904,FLORENCE,WILLOW CREEK AT SC 327,PD-630,AL,BIO
,,,,,,,,
3,,PEEDEE,030402011003,FLORENCE,GREAT PEE DEE RVR AT US 301/76,PD-337,AL,DO
3,,PEEDEE,030402011003,FLORENCE,GREAT PEE DEE RVR AT US 301/76,PD-337,FISH,HG
,,,,,,,,
3,,PEEDEE,030402011102,MARION,SMITH SWP AT US 501 1.9 MI SSE OF MARION,PD-187,AL,DO
3,,PEEDEE,030402011102,MARION,SMITH SWP AT S-34-19 1 MI E OF MARION,PD-320,AL,DO
,,,,,,,,
3,,PEEDEE,030402011105,MARION,CATFISH CANAL AT S-34-34 6 MI SW OF MARION,PD-097,AL,DO
3,,PEEDEE,030402011105,MARION,CATFISH CANAL AT S-34-34 6 MI SW OF MARION,PD-097,REC,ECOLI
,,,,,,,,
3,,PEEDEE,030402011201,FLORENCE,GREAT PEE DEE RIVER @ DEWITT BLUFF,PD-622,FISH,HG
,,,,,,,,
3,,PEEDEE,030402011202,FLORENCE,GREAT PEE DEE RVR AT US 378,PD-076,FISH,HG
3,,PEEDEE,030402011202,FLORENCE,GREAT PEE DEE RIVER @ BOSTICK,PD-662,FISH,HG
,,,,,,,,
3,,PEEDEE,030402020101,CHESTERFIELD,HILLS CREEK AT S-13-105,PD-333,AL,BIO
,,,,,,,,
3,*,PEEDEE,030402020104,LANCASTER,FLAT CR. AT US 601,PD-182,AL,BIO
3,*,PEEDEE,030402020104,LANCASTER,FLAT CREEK AT S-29-99,RS-08233,AL,BIO
,,,,,,,,
3,,PEEDEE,030402020105,CHESTERFIELD,HILLS CREEK AT S-13-545,PD-366,AL,BIO
,,,,,,,,
3,,PEEDEE,030402020201,LANCASTER,LITTLE LYNCHES R. AT SR 88,PD-640,AL,BIO
,,,,,,,,
3,,PEEDEE,030402020202,LANCASTER,HANGING ROCK CRK. AT SR 770,PD-669,AL,PH
3,,PEEDEE,030402020202,LANCASTER,UNNAMED TRIBUTARY TO HANGING ROCK CREEK AT CULVERT ON CO RD S-29-773. 3.25 MI SSE OF KERSHAW.,RS-04549,REC,ECOLI
,,,,,,,,
3,,PEEDEE,030402020203,LANCASTER,LITTLE LYNCHES R. AT SC 157,PD-632,AL,BIO
,,,,,,,,
3,,PEEDEE,030402020204,KERSHAW,LITTLE LYNCHES RVR AT S-28-20 -LOCKHART RD,RS-12076,REC,ECOLI
,,,,,,,,
3,,PEEDEE,030402020206,KERSHAW,LITTLE LYNCHES RIVER AT SC 341; 3.5 MI SE OF BETHUNE,PD-344,REC,ECOLI
,,,,,,,,
3,,PEEDEE,030402020301,CHESTERFIELD,FORK CK AT UN# RD 1.5 MI SW JEFFERSON,PD-068,AL,BIO
3,,PEEDEE,030402020301,CHESTERFIELD,LITTLE FORK CRK. AT CO.RD. 39 UPSTREAM OF BREWER GOLD MINE,PD-647,AL,BIO
,,,,,,,,
3,,PEEDEE,030402020307,CHESTERFIELD,LYNCHES RVR AT US 1,PD-009,REC,ECOLI
,,,,,,,,
3,,PEEDEE,030402020403,DARLINGTON,NEWMAN SWP AT S-16-449 0.9 MI NE OF LAMAR,PD-229,AL,DO
,,,,,,,,
3,,PEEDEE,030402020405,FLORENCE,SPARROW SWAMP AT US 76 1.1 MI SOUTHWEST OF TIMMONSVILLE. SITE IS A USGS GAUGING SITE.,RS-04548,AL,"CR, CU, NI"
,,,,,,,,
3,,PEEDEE,030402020406,FLORENCE,"LAKE SWAMP AT S-21-106,  SECOND BRIDGE W OF INTERSECTION WITH S-21-45,  FIRST BRIDGE COMING E FROM S-2",RS-12084,AL,DO
,,,,,,,,
3,,PEEDEE,030402020503,LEE,LYNCHES RVR AT US 15/SC 34,PD-071,FISH,HG
3,,PEEDEE,030402020503,LEE,COUSAR BR 1/4 MI BELOW BISHOPVILLE FINISHING CO,PD-112,REC,ECOLI
,,,,,,,,
3,,PEEDEE,030402020504,DARLINGTON,LYNCHES RIVER AT US 401,PD-364,FISH,HG
3,,PEEDEE,030402020504,DARLINGTON,LYNCHES RIVER AT US 401,PD-364,REC,ECOLI
,,,,,,,,
3,,PEEDEE,030402020601,FLORENCE,CAMP BRANCH AT S-21-278,PD-346,AL,DO
3,,PEEDEE,030402020601,FLORENCE,CAMP BRANCH AT S-21-278,PD-346,REC,ECOLI
,,,,,,,,
3,,PEEDEE,030402020602,FLORENCE,SINGLETON SWAMP AT S-21-67,PD-314,AL,DO
3,,PEEDEE,030402020602,FLORENCE,LONG BRANCH AT CULVERT AT MOULDS RD. THIS CULVERT IS AT THE END OF PAVEMENT COMING FROM BEULAH RD,RS-10397,REC,ECOLI
,,,,,,,,
3,,PEEDEE,030402020603,FLORENCE,LAKE SWAMP AT US 378,PD-085,AL,DO
3,,PEEDEE,030402020603,FLORENCE,LAKE SWAMP ON SC 341,PD-086A,AL,DO
,,,,,,,,
3,,PEEDEE,030402020604,FLORENCE,LAKE SWAMP AT SC 341 2.6 MI W OF JOHNSONVILLE,PD-087,AL,DO
3,,PEEDEE,030402020604,FLORENCE,LAKE SWAMP AT SC 341 2.6 MI W OF JOHNSONVILLE,PD-087,REC,ECOLI
,,,,,,,,
3,,PEEDEE,030402020701,FLORENCE,LYNCHES RVR AT US 52 NEAR EFFINGHAM,PD-041,AL,PH
3,,PEEDEE,030402020701,FLORENCE,LYNCHES RIVER @ US 52,PD-624,FISH,HG
,,,,,,,,
3,,PEEDEE,030402020703,FLORENCE,BIG SWP AT US 378 & SC 51 0.9 MI W OF SALEM,PD-169,AL,DO
,,,,,,,,
3,,PEEDEE,030402020704,FLORENCE,LYNCHES RVR AT S-21-49 5 MI NW JOHNSONVILLE,PD-281,AL,DO
,,,,,,,,
3,,PEEDEE,030402020705,FLORENCE,LYNCHES RIVER @ JOHNSONVILLE,PD-048,FISH,HG
,,,,,,,,
3,,PEEDEE,030402031302,DILLON,CANAAN BRANCH AT S-17-22 -ARNETTE ROAD,RS-13127,REC,ECOLI
,,,,,,,,
